iter	PRAUC:type=Classic	Logloss
77	0.982109796	0.2050915349
78	0.9821813831	0.2041321526
79	0.9822542787	0.2033708849
80	0.9823537044	0.2024473821
81	0.9824370648	0.2018504265
82	0.9825451282	0.200812466
83	0.9826667429	0.1999709958
84	0.9827435598	0.1993330974
85	0.9828626422	0.1986636896
86	0.9829577061	0.1978345844
87	0.9830586088	0.1973499168
88	0.9831872823	0.1967186777
89	0.9832747621	0.1960734611
90	0.983391451	0.195158949
91	0.9834605934	0.194690352
92	0.9835478077	0.1942171875
93	0.983597536	0.1935882932
94	0.9836296063	0.1930145876
95	0.9837062993	0.1926246666
96	0.9838125111	0.1919345231
97	0.9838562547	0.1914142118
98	0.9839603378	0.1907679238
99	0.9840514728	0.1901562303
100	0.9841429587	0.189639945
101	0.9842898794	0.1886615875
102	0.9843768078	0.1880943006
103	0.9844560358	0.1875756401
104	0.9845324559	0.1870276274
105	0.9846775077	0.1861346575
106	0.9847533629	0.1857485667
107	0.9848341146	0.1849956916
108	0.9849513617	0.1842253416
109	0.9850151803	0.1835796139
110	0.9851240363	0.18302482
111	0.9851459243	0.1826890885
112	0.9852356276	0.1820616754
113	0.9853081611	0.181429986
114	0.9853689846	0.1807477686
115	0.9853986777	0.1805072937
116	0.9854676862	0.1798897827
117	0.9855078049	0.1794591692
118	0.9855811806	0.1789919845
119	0.9857074714	0.1781726348
120	0.9857547737	0.1778971859
121	0.9858493363	0.1773333334
122	0.9859075387	0.1768897722
123	0.9859771427	0.1764741454
124	0.986037071	0.1759249573
125	0.9861041298	0.17550529
126	0.9862281513	0.1746660998
127	0.9863465183	0.1739414961
128	0.9863814523	0.1737575734
129	0.9864461585	0.1732706455
130	0.9865215275	0.1729174022
131	0.9865766371	0.1722991002
132	0.9866830368	0.17169602
133	0.986794954	0.1711324982
134	0.9868648871	0.1706439324
135	0.9869535644	0.1701441081
136	0.9870195914	0.1697357582
137	0.9870567776	0.1693006441
138	0.9870910217	0.1689195739
139	0.9871191205	0.1687475591
140	0.9871705625	0.1683322796
141	0.9871971264	0.1680894344
142	0.9872433975	0.1677442236
143	0.9872635382	0.1674474115
144	0.9873143791	0.1671176705
145	0.9873722511	0.1667549286
146	0.9874218382	0.1664936874
147	0.9874370059	0.1662745447
148	0.9874836306	0.1658108412
149	0.9875308631	0.1655088353
150	0.9875831611	0.1651554271
151	0.9876244555	0.1648588121
152	0.9876718838	0.164538058
153	0.9877508058	0.1640705404
154	0.987782622	0.1637952566
155	0.98784243	0.1633690713
156	0.9879240653	0.1628705351
157	0.9879874523	0.1624976232
158	0.9880688008	0.1619171841
159	0.9881089569	0.1616014806
160	0.9881466506	0.1613023485
161	0.9882007884	0.1609675752
162	0.988220788	0.1607895725
163	0.9882766061	0.1604336309
164	0.9883344625	0.1599451081
165	0.9883863106	0.1595828541
166	0.9884586194	0.159237458
167	0.9884948303	0.1589648242
168	0.9885263589	0.1586707711
169	0.9885603636	0.1584853891
170	0.9886251022	0.1581290203
171	0.9887058171	0.1577035297
172	0.9887692292	0.1572265164
173	0.9888016823	0.1570214619
174	0.9888582616	0.1567309215
175	0.988939169	0.1562243452
176	0.9890241245	0.1557814044
177	0.9890982636	0.1553877703
178	0.989167108	0.1549606677
179	0.9892146648	0.1546228658
180	0.9892588522	0.154274545
181	0.9893067371	0.1540153492
182	0.9893569502	0.153561301
183	0.9894091241	0.1531758802
184	0.9894740528	0.152779541
185	0.9895563781	0.1522192067
186	0.9895901198	0.1519652383
187	0.9896439554	0.151606515
188	0.9896823304	0.1512966015
189	0.9897099804	0.1510879257
190	0.9897383475	0.1507902744
191	0.9897869104	0.150367562
192	0.9898378556	0.1499681028
193	0.9899164128	0.149487134
194	0.9899533395	0.1491964815
195	0.9899787174	0.149028579
196	0.9900402272	0.148731214
197	0.9900732107	0.1484738012
198	0.990132996	0.1481675467
199	0.9901652262	0.147882027
200	0.9902031891	0.1475671423
201	0.9902470171	0.1472936792
202	0.9902795916	0.1470213782
203	0.9903415137	0.1466998044
204	0.9903828815	0.1464094668
205	0.9904155814	0.1460626863
206	0.990464915	0.1458512126
207	0.9905041478	0.145567255
208	0.9905780841	0.145130933
209	0.9905945198	0.1449218202
210	0.9906384796	0.1446429004
211	0.9906885052	0.144400769
212	0.9907313034	0.1440888184
213	0.9907682468	0.1438796781
214	0.9908164183	0.1434197462
215	0.9908900495	0.1429054913
216	0.9908979463	0.1428515991
217	0.9909255892	0.1426353222
218	0.9909586414	0.1424054563
219	0.9910126118	0.142008958
220	0.9910676615	0.1416710926
221	0.9911165759	0.1414096113
222	0.9911578959	0.1410313266
223	0.9911924008	0.1407919915
224	0.9912191444	0.1405845472
225	0.9912347278	0.1404236307
226	0.9912666653	0.1402549935
227	0.9913169639	0.1399697934
228	0.9913202181	0.1398545149
229	0.9913520531	0.1395188107
230	0.9913961768	0.1392785657
231	0.9914384782	0.1389938605
232	0.9914738383	0.1387368057
233	0.9915017401	0.1384980219
234	0.9915549351	0.1382846535
235	0.9915660133	0.1382230537
236	0.9915916516	0.1380089612
237	0.9916228344	0.1377523551
238	0.9916571716	0.1374592363
239	0.9916730078	0.1372737412
240	0.9917134034	0.1369378904
241	0.9917344071	0.1367359244
242	0.9917491132	0.1365342897
243	0.9917719613	0.1362799556
244	0.991825865	0.1359897798
245	0.9918795571	0.1357341494
246	0.9919008897	0.135573938
247	0.9919650639	0.1352777867
248	0.9919992621	0.1350281999
249	0.9920395245	0.1348138175
250	0.9920447181	0.1347236422
251	0.992064746	0.1345906112
252	0.9921054759	0.1343457273
253	0.9921552197	0.1341181428
254	0.9922227581	0.1337717825
255	0.992236524	0.1336184481
256	0.992269974	0.1333739606
257	0.9922944669	0.1332259248
